time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
1/1/2011,14,6.4,0,18.2,8
1/2/2011,12.6,1.4,0,10.8,67
1/3/2011,13.4,2.9,0,11.5,161
1/4/2011,18,8.9,1,7.7,77
1/5/2011,21.4,11.6,0,17.4,312
1/6/2011,18.8,4.8,0,8.7,339
1/7/2011,22.7,5.1,0,11.5,250
1/8/2011,16.8,7.2,0,16.6,61
1/9/2011,10.6,5.1,43.4,20,38
1/10/2011,11.8,2.5,0,19.6,59
1/11/2011,5.5,-0.7,0,22.8,7
1/12/2011,3.6,-1.6,0,14.9,33
1/13/2011,3.9,0.3,0,12,78
1/14/2011,8.5,3.1,1.9,10.7,117
1/15/2011,11,8.5,26,13.8,31
1/16/2011,10.9,8.4,13.8,13.6,354
1/17/2011,15.8,4.5,0,18.5,233
1/18/2011,16.7,9.2,0,24.1,337
1/19/2011,16.6,4.2,0,19.1,147
1/20/2011,13.6,2.6,0.3,32.3,341
1/21/2011,8.5,-2.2,0,18.4,25
1/22/2011,14.4,-0.6,0,18.8,207
1/23/2011,13.1,4,0.6,17.9,241
1/24/2011,11.4,6.3,0.3,14.9,25
1/25/2011,13,4.3,0.2,21.5,353
1/26/2011,14.5,0.5,0,10,6
1/27/2011,18.4,3.7,0,12.4,254
1/28/2011,20.9,6.5,0,14.4,246
1/29/2011,22.3,10.1,0,21.4,196
1/30/2011,24.1,15.6,0.2,17.3,207
1/31/2011,22.3,11.3,0.3,18.1,148
2/1/2011,17.5,-5.8,11.8,42.8,337
2/2/2011,0,-7.5,0,31.1,358
2/3/2011,-0.3,-7.4,0.3,19.2,358
2/4/2011,3,-6.3,2.3,16.3,313
2/5/2011,14.9,-5.2,0,18.2,237
2/6/2011,20.8,3.4,0,24.6,253
2/7/2011,12.5,4,0,25,339
2/8/2011,16.3,1.8,0.1,27.7,148
2/9/2011,11.5,-3.8,7.1,32.6,349
2/10/2011,5.3,-5.9,0,23.1,4
2/11/2011,11.3,-4.1,0,10.9,169
2/12/2011,16.3,-1.2,0,12.4,219
2/13/2011,19.4,2.6,0,20.9,208
2/14/2011,22.5,8.3,0,16.5,186
2/15/2011,23,12.9,0.2,19.7,185
2/16/2011,22,14.9,0,21.3,177
2/17/2011,23.6,16.7,0.4,24.5,179
2/18/2011,23.2,15.9,0,16.4,171
2/19/2011,22.8,14.5,0.6,21.7,154
2/20/2011,23.8,14.9,0.4,26,175
2/21/2011,22.5,15.2,0,21,169
2/22/2011,16.7,12.5,0.5,17.1,33
2/23/2011,24.4,14.6,0.8,18.8,160
2/24/2011,27.1,17.2,3.8,21.4,213
2/25/2011,21,8.8,0,15.6,26
2/26/2011,23.6,10.1,0.7,19.1,171
2/27/2011,28.6,17.3,0,26.2,173
2/28/2011,20.7,13.2,1,24.7,340
3/1/2011,21.3,7.4,0,13,44
3/2/2011,23.1,8.5,0,11.2,137
3/3/2011,22.7,7.7,0,18.4,172
3/4/2011,23.5,13.3,0,16.7,166
3/5/2011,17.3,9,2.4,32.7,349
3/6/2011,18.2,4.2,0,12.4,88
3/7/2011,24.8,7.6,0,24.6,168
3/8/2011,27.2,15.8,1.6,21.8,174
3/9/2011,21.7,12,0,23.7,348
3/10/2011,21.6,8.2,0,10.8,12
3/11/2011,23.9,6.4,0,23.4,173
3/12/2011,26.3,12,0,23.7,175
3/13/2011,23.5,15.3,0.3,18.6,169
3/14/2011,21.9,13.7,0.6,20.2,22
3/15/2011,21.9,8.1,0,15.1,117
3/16/2011,24.6,15.2,0,22.4,163
3/17/2011,27.7,17.1,0,23.7,175
3/18/2011,29.2,17.5,0,22.1,176
3/19/2011,27,17.6,0,22.5,160
3/20/2011,26.3,17.6,0.7,23.4,160
3/21/2011,27.4,17.2,0.7,26.8,166
3/22/2011,27.4,17.1,0.1,30.4,177
3/23/2011,29.1,17.2,0,16.2,174
3/24/2011,26.6,16.9,0,20,138
3/25/2011,28,17.6,0,18.9,176
3/26/2011,30.2,19.6,1.7,18.8,183
3/27/2011,23.8,17.5,0.1,18.3,42
3/28/2011,18.3,10.9,0,14.2,51
3/29/2011,24.2,13.3,6,25.1,63
3/30/2011,19.9,10.4,0,23.2,8
3/31/2011,26,8.6,0,12.4,135
4/1/2011,31.2,15.2,0,21.6,199
4/2/2011,29.6,17.2,0,21.7,161
4/3/2011,29.8,18.9,0.3,27.7,176
4/4/2011,27.3,15.8,0,34.6,333
4/5/2011,22.7,11.1,0,17.6,145
4/6/2011,28.5,11.3,0,23,181
4/7/2011,29.7,17.3,0,24.7,173
4/8/2011,32.8,20.5,0,22.8,163
4/9/2011,31.8,19.8,0,26.3,165
4/10/2011,32,20,0,26.6,167
4/11/2011,27.5,18,7,27.3,330
4/12/2011,27.4,12.1,0,16.3,143
4/13/2011,28.2,12,0,17.7,164
4/14/2011,28.1,20,0.4,18.6,178
4/15/2011,27,18.1,0,25.5,329
4/16/2011,26.3,12.2,0,12.5,103
4/17/2011,28.8,12,0,25.6,175
4/18/2011,33.6,19.7,0.1,21.7,181
4/19/2011,33.8,21.8,0,23.8,179
4/20/2011,32.1,21.9,0.1,19.9,152
4/21/2011,30.6,20.4,0.4,23.2,151
4/22/2011,32,22.3,0,25.6,170
4/23/2011,31.8,22,0,27.4,170
4/24/2011,30.7,22.4,0.1,28.4,161
4/25/2011,34,22.7,1.3,28.1,184
4/26/2011,33.6,21,11.9,21.3,180
4/27/2011,28.9,19.5,0,24.3,322
4/28/2011,25.9,14.3,0,18,63
4/29/2011,29.8,13.9,0,28.7,161
4/30/2011,32.2,19.9,0.6,25.2,175
5/1/2011,33,16.3,0.3,29,160
5/2/2011,15.1,10.2,3.9,25.3,357
5/3/2011,22.1,9,0,21.6,21
5/4/2011,24.5,10,0,16.6,124
5/5/2011,27.1,12.1,0,16.8,156
5/6/2011,30.1,14.8,0,19.6,175
5/7/2011,31.3,17.6,0,20.5,183
5/8/2011,34,20.4,0,22.7,172
5/9/2011,34.5,21,0,28.5,167
5/10/2011,32.5,22.8,0,24,161
5/11/2011,31.5,22.7,5.4,25.8,154
5/12/2011,26.6,18.9,16.2,20,137
5/13/2011,29.6,18.9,0.1,16.2,345
5/14/2011,26.7,15.8,0,14.7,10
5/15/2011,25.1,13.4,0,14,50
5/16/2011,28.4,17.9,0,9.7,50
5/17/2011,29.6,14.8,0,21.8,145
5/18/2011,29.2,19.2,1.2,23.8,168
5/19/2011,27.7,22.5,4.5,25.9,155
5/20/2011,29.7,20.5,15,22.3,166
5/21/2011,29.6,20.4,3.8,20.5,147
5/22/2011,31.2,23.6,0,22.5,164
5/23/2011,31.3,22.3,0,26,165
5/24/2011,33.3,23.7,0,25.2,171
5/25/2011,35.1,23.1,0,21.3,186
5/26/2011,32.9,21.3,0.9,16.4,58
5/27/2011,35.5,21.8,0,25.2,173
5/28/2011,35.7,22.6,0,26.4,172
5/29/2011,34.4,22.4,0,29,159
5/30/2011,34.3,24.2,0.8,30.4,158
5/31/2011,33.9,24,1.5,20.8,153
6/1/2011,33.7,21.9,0,17.9,156
6/2/2011,34.6,20.3,0,16.9,169
6/3/2011,35.1,22.9,0,19.2,153
6/4/2011,34.4,22.3,0,15.4,144
6/5/2011,35.5,20.2,0.1,13.2,158
6/6/2011,37.7,23.6,0,15.9,132
6/7/2011,36.2,24.2,0.3,18.5,161
6/8/2011,34.7,23.4,0.3,21.4,170
6/9/2011,35.5,22.6,0,19.3,168
6/10/2011,35.7,23.1,0,20.4,165
6/11/2011,34.7,22.7,0,18.9,164
6/12/2011,36.4,22.6,0,19.2,173
6/13/2011,36.5,23.1,0,20.7,179
6/14/2011,37.8,23.7,0,26.3,184
6/15/2011,38.4,24.7,0,23.5,171
6/16/2011,37.8,24.5,0,24.5,171
6/17/2011,38.9,25.5,0,28.7,176
6/18/2011,39.4,24.9,0,25.1,179
6/19/2011,38.5,24.9,0,28.8,174
6/20/2011,36.4,24.9,0,29.6,172
6/21/2011,35.9,25.4,0.4,21.6,172
6/22/2011,31.1,22.2,18.3,13,81
6/23/2011,31.8,21.9,0.3,12.3,118
6/24/2011,32.3,21.7,0,15.9,131
6/25/2011,34.2,24.5,0.5,23.4,166
6/26/2011,35.1,23.9,0,21.2,177
6/27/2011,37.7,24.6,0,20.2,176
6/28/2011,36.9,24.6,0,18.5,155
6/29/2011,36.4,24,0,15.5,156
6/30/2011,36.9,23.7,0,14.6,167
7/1/2011,36.1,24.9,0,15.6,165
7/2/2011,36.6,25.4,0,14.4,181
7/3/2011,37.5,24.5,0,18.1,194
7/4/2011,37.6,25.2,0,17.3,181
7/5/2011,37.6,24.2,0,17,165
7/6/2011,37.3,25.1,0,15.7,156
7/7/2011,36.7,24.9,0.1,17.8,176
7/8/2011,38,25.1,0,18,181
7/9/2011,36.3,25.1,0.2,21.5,178
7/10/2011,36.5,25.2,0.2,19.5,166
7/11/2011,36.6,25.5,0.2,19.5,166
7/12/2011,36.6,25.7,0.4,20,177
7/13/2011,37.8,24.6,0,19.3,184
7/14/2011,37.3,25.8,0,19,183
7/15/2011,37.1,25.8,0,18,182
7/16/2011,36.2,25.6,0.1,17.7,173
7/17/2011,36.6,25,0,18.2,169
7/18/2011,37,25.9,0,13.8,175
7/19/2011,35.9,26.8,0,13.2,167
7/20/2011,36.3,26.1,0,20.2,170
7/21/2011,36.5,25.4,0.2,21.5,168
7/22/2011,36.8,26,0,22.8,164
7/23/2011,38.1,25.6,0,22.7,172
7/24/2011,38.1,25.9,0,20.8,183
7/25/2011,38.3,26.2,0,17.7,186
7/26/2011,38.1,26.4,0,18,181
7/27/2011,38.4,26.1,0,21.3,178
7/28/2011,37.7,25.5,0,19,171
7/29/2011,37.1,25.8,0.4,17.8,125
7/30/2011,35,24.1,5,19.4,140
7/31/2011,36.3,23.9,0,14.9,182
8/1/2011,38.6,25.3,0,12.6,180
8/2/2011,38.9,26.4,0.3,16.1,170
8/3/2011,38.6,26.2,0,19.1,171
8/4/2011,39.5,26.5,0,22.3,183
8/5/2011,39.4,26.1,0,23,178
8/6/2011,38.7,25.7,0,19.8,173
8/7/2011,37.9,26.2,0,22.1,179
8/8/2011,39,26.1,0,25.4,183
8/9/2011,39,25.6,0,21.5,178
8/10/2011,38.3,25.7,0,23.1,177
8/11/2011,36.8,26.9,1.3,21.1,168
8/12/2011,37.6,26.5,0,21.4,174
8/13/2011,36.5,25.9,0,20,165
8/14/2011,36.8,26.8,0.5,15.1,155
8/15/2011,37.9,26.3,0,19.3,174
8/16/2011,37.8,25.6,0,20.3,173
8/17/2011,37.8,25.7,0,16.3,167
8/18/2011,38.1,25.6,0,16.1,179
8/19/2011,38.8,25.7,0,17.7,181
8/20/2011,38.5,26.8,0.1,16.6,168
8/21/2011,36.7,25.3,0,17.2,162
8/22/2011,37.7,26,0,16.4,172
8/23/2011,38.4,26.2,0,14.8,175
8/24/2011,38.3,26.5,0,17.4,163
8/25/2011,35.8,27.2,0.1,13.3,133
8/26/2011,37.7,24.4,0,9,184
8/27/2011,40.5,27.3,0,11.2,199
8/28/2011,42.6,28.7,0,16.9,32
8/29/2011,41,27.9,0,15.9,176
8/30/2011,39,26.6,0,17,164
8/31/2011,37.3,25.2,0,16.8,154
9/1/2011,37.1,24.6,0,14.6,141
9/2/2011,36.9,26.9,0,15.6,69
9/3/2011,37.5,26.7,0,22.6,31
9/4/2011,37,26.1,0,33,5
9/5/2011,32.1,24.9,0,26,8
9/6/2011,32.7,19.2,0,11.1,33
9/7/2011,34,18.2,0,11.5,45
9/8/2011,33.4,19.9,0,13.3,9
9/9/2011,34.5,18.6,0,9,31
9/10/2011,35.5,19.7,0,8.7,42
9/11/2011,37,22.1,0,12.2,209
9/12/2011,37.8,23.5,0,15.6,209
9/13/2011,38.1,23.9,0,17.4,202
9/14/2011,36.9,23.3,0,19.8,180
9/15/2011,34,23,0,16,146
9/16/2011,31.8,23.6,3.3,19.1,150
9/17/2011,31.1,23.9,5.9,15.9,167
9/18/2011,32.2,22,2.9,13.7,183
9/19/2011,31.5,21.8,15,13.7,24
9/20/2011,31.9,19.1,0,8.7,67
9/21/2011,32.6,21.5,0,8.9,149
9/22/2011,32.8,21.4,0.6,14,54
9/23/2011,30.8,20.3,0,16.8,14
9/24/2011,34.2,20.5,0,11.7,197
9/25/2011,37.7,23.8,0,21.7,202
9/26/2011,37,22.8,1.6,17.5,182
9/27/2011,35.9,23.6,0.3,21.9,211
9/28/2011,35.8,21.9,0,9.7,232
9/29/2011,35.8,23.9,2.4,11.7,212
9/30/2011,30.6,22.5,0,25.4,14
10/1/2011,29.6,19.1,0,13.7,54
10/2/2011,29.7,16.3,0,9,120
10/3/2011,29.1,16.3,0,10.4,156
10/4/2011,28.9,16.4,0,13.3,145
10/5/2011,28.9,17.7,0,18.4,145
10/6/2011,29.8,20.3,0,22.2,141
10/7/2011,30.8,23.1,2.4,23.7,148
10/8/2011,30.1,21.2,11.4,22.5,141
10/9/2011,24.5,19.7,31.7,24.7,53
10/10/2011,24.4,18.8,0.6,10.5,12
10/11/2011,26.9,17,0.1,11.6,144
10/12/2011,28.2,19.6,0.1,17.6,202
10/13/2011,28.3,19.1,0,15.5,6
10/14/2011,27.7,15.1,0,9,137
10/15/2011,27.8,15.9,0,11,174
10/16/2011,27.7,16.6,0,11.9,188
10/17/2011,29.9,17.2,0,19.4,193
10/18/2011,22.4,15.2,0,32.2,342
10/19/2011,22.4,12.1,0,19.4,326
10/20/2011,24.9,10.3,0,17.7,151
10/21/2011,28.9,14.6,0,18.3,176
10/22/2011,28.3,17.8,0,20.2,178
10/23/2011,29.8,18.1,0,16.3,212
10/24/2011,28.9,17.2,0,13,93
10/25/2011,29.2,18.3,0,20,188
10/26/2011,29.6,18.7,0,18.4,183
10/27/2011,25.9,11.9,0.3,29.4,1
10/28/2011,17.7,10.5,0,27.1,357
10/29/2011,18.8,7.7,0,10.4,123
10/30/2011,22,8.8,0,10.7,173
10/31/2011,24.6,10,0,11.3,180
11/1/2011,25.6,12.1,0,19.7,171
11/2/2011,27.9,15.7,0.6,30.4,183
11/3/2011,17.2,7.9,0,31.5,351
11/4/2011,17.9,4.9,0,8.7,46
11/5/2011,24.3,8,0,24.8,161
11/6/2011,25.8,19.2,2.9,21.8,163
11/7/2011,25.6,20.3,4.4,24.2,158
11/8/2011,25.5,16.3,1.8,22,210
11/9/2011,17.1,9.2,0,25.2,359
11/10/2011,17.5,8.7,0,18.7,359
11/11/2011,19.3,5.8,0,18.5,204
11/12/2011,24.7,11.6,0,24.8,193
11/13/2011,28.2,17.6,0,23.3,194
11/14/2011,26.2,20.1,0,20.7,182
11/15/2011,21.8,18.1,28.3,16.2,188
11/16/2011,25.6,14.3,0,23.5,323
11/17/2011,16,9.9,0,22.3,29
11/18/2011,21.3,7.6,0,23.1,156
11/19/2011,26.1,17.6,0.2,23.4,178
11/20/2011,26.2,21.5,0.4,25.3,169
11/21/2011,26.3,21.4,3.3,24.2,166
11/22/2011,22.3,13.5,17.3,21.6,345
11/23/2011,20.3,10.5,0,12,16
11/24/2011,20.7,10.6,0,15.5,126
11/25/2011,23.8,12.2,0,23.4,159
11/26/2011,19.5,11.1,18.9,30.3,323
11/27/2011,11.8,6.7,0,30.1,332
11/28/2011,15.2,2.9,0,10.2,265
11/29/2011,17.3,4.3,0,14,9
11/30/2011,15.8,5.4,0,10.9,33
12/1/2011,21.6,6.1,0,19.5,142
12/2/2011,16.8,14.9,5.7,18.6,105
12/3/2011,21.1,15.3,2.9,26.6,151
12/4/2011,18.7,7.3,13.9,23.8,14
12/5/2011,10.2,5.1,8.5,24.5,355
12/6/2011,5.8,1.3,0,20.7,341
12/7/2011,9.5,-2.1,0,11.2,310
12/8/2011,12.4,-0.4,0,13.1,179
12/9/2011,17,5,0,14.7,37
12/10/2011,11.4,7.3,5.6,16.3,34
12/11/2011,10.3,5.7,6,12,69
12/12/2011,16.1,8.6,1.7,14.4,99
12/13/2011,20.8,13.3,1.2,21.7,139
12/14/2011,23.4,18.8,3.6,30.3,167
12/15/2011,19.3,9.9,14.9,20.7,16
12/16/2011,12.3,7.9,8.3,22.8,8
12/17/2011,13.2,8.3,0,15.6,18
12/18/2011,14.7,10.1,0,15.8,112
12/19/2011,22.9,13.8,4,27.7,163
12/20/2011,14.6,8.9,0,22.7,322
12/21/2011,11.6,6.3,0.3,10.8,20
12/22/2011,18.6,7.8,14.8,21.2,331
12/23/2011,9.8,3.9,0,20.5,4
12/24/2011,6.9,5.3,6.1,19,16
12/25/2011,9.7,5.2,0,16.7,345
12/26/2011,12.8,5.2,1.5,17.5,295
12/27/2011,15.5,3.3,0,14.3,325
12/28/2011,17.5,3.3,0,18.4,213
12/29/2011,19,4,0,13.2,267
12/30/2011,20,8.7,0,14.3,315
12/31/2011,22,6.3,0,17.6,227
1/1/2012,15,8.4,0,23.9,358
1/2/2012,13.5,4.9,0,15.9,6
1/3/2012,14,2.9,0,17,178
1/4/2012,19,5.4,0,17.1,221
1/5/2012,19.4,8.7,0,12.6,345
1/6/2012,21.3,12,0,20.7,198
1/7/2012,19.6,12.6,0,14.3,303
1/8/2012,19.1,10.7,2.9,15.1,45
1/9/2012,14.1,7.4,17.5,24.4,350
1/10/2012,15.3,4.6,0.2,25.3,304
1/11/2012,20.7,5.2,0,28.3,260
1/12/2012,12.3,2.4,0,28.7,344
1/13/2012,12.6,-0.3,0,10.9,244
1/14/2012,16.3,2,0,11.4,229
1/15/2012,15.1,3.1,0,17.7,190
1/16/2012,23.8,14.5,0.1,29.1,190
1/17/2012,22.5,9.2,0.2,22.2,1
1/18/2012,16.6,3.9,0,20.1,2
1/19/2012,22.8,9.6,0,20.7,217
1/20/2012,23.5,13,0,19.1,205
1/21/2012,16.9,8.9,0,18.7,354
1/22/2012,24.7,9.4,0.1,26.5,212
1/23/2012,18.8,8.7,0,18,21
1/24/2012,19.2,9.5,7.8,13,114
1/25/2012,19.5,10.5,58.1,27.1,352
1/26/2012,19,9.4,0,17.8,308
1/27/2012,20.3,5.9,0,22.2,188
1/28/2012,14,7.6,0,24,17
1/29/2012,15.5,3.3,0,9.3,75
1/30/2012,18.7,6,1.3,20.3,175
1/31/2012,22,14,3.3,16.9,201
2/1/2012,23.2,15.3,0.8,10.1,207
2/2/2012,19.9,13.1,2.6,15.8,130
2/3/2012,24.1,17.6,2.4,21.7,163
2/4/2012,17.7,11.1,21.4,22.4,0
2/5/2012,10.8,6.9,0,22.8,4
2/6/2012,9.3,6.3,0,14.5,23
2/7/2012,16.5,5.6,0,12.2,40
2/8/2012,12.4,6.2,0,18,15
2/9/2012,13.4,4.5,0,10.9,109
2/10/2012,16.2,8.2,3.6,22.1,335
2/11/2012,9.4,2.7,0,19.9,26
2/12/2012,5.6,-0.7,1,16.3,64
